Montycloud DAY2 Well-Architected Assessment Report (Confidential),,,,,,,,,,,,
,,,,,,,,,,,,
Report generated by,daniel.perez6789@gmail.com,,,,,,,,,,,
Report generated at,08 Jul 2024 16:00:35 UTC,,,,,,,,,,,
Workload Name,Test Customer Non-Prod June 2024,,,,,,,,,,,
Review Owner,Daniel Perez,,,,,,,,,,,
Improvement Status,NOT_APPLICABLE,,,,,,,,,,,
,,,,,,,,,,,,
Serial number,Pillar,Severity,Status,Resource ID,Resource Name,Resource Type,Question,Check Title,Check Description,Account Name,Account ID,Region
713,security,Medium,Failed,,,Ram,How do you manage permissions for people and machines?,Restrict external principal access in Resource Access Manager,"Enhance security by ensuring external principals have limited permissions and conditions in AWS Resource Access Manager, or by not allowing external principal access at all. Adjust settings according to your organization's security requirements.",NonProd,,us-east-1
714,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
715,security,Medium,Failed,,,S3,How do you detect and investigate security events?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
716,security,Medium,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict security groups with all outbound traffic open to the public,"Restricting outbound traffic to necessary destinations and specifically denying all other traffic improves security by reducing potential data exfiltration and minimizing the risk of unauthorized connections, leading to a more secure environment and reduced business risks.",Sandbox,,us-east-1
717,costOptimization,Medium,Failed,,,Certificate,How do you decommission resources?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
718,security,Medium,Failed,,,LoadBalancer,How do you protect your network resources?,Protect ELBv2s with AWS Shield Advanced,"Ensure that ELBv2s are protected by Shield Advanced. AWS Shield Advanced provides additional protections against more sophisticated and larger attacks for your applications running on Elastic Load Balancing (ELB). By using Shield Advanced, you can safeguard your load balancers, ensuring the availability and performance of your applications, and maintaining resilience against DDoS attacks and other potential threats.",NonProd,,us-east-1
719,costOptimization,Medium,Failed,,,Vpc,How do you plan for data transfer charges?,Configure a NAT Gateway,"NAT Gateway facilitates outbound internet connectivity for instances within a private subnet, allowing them to access the internet while maintaining security through private IP addresses. It serves as a highly available and scalable solution for translating private IP addresses to public IP addresses, enabling secure communication with external resources. By deploying a NAT Gateway, organizations can enforce network segmentation and control outbound traffic for enhanced security and compliance. It is recommended to strategically deploying NAT Gateways across Availability Zones for high availability and incorporating them into VPC design to ensure seamless connectivity for private resources.",Sandbox,,us-east-1
720,security,Medium,Failed,,,CodeBuildProject,How do you detect and investigate security events?,Enable CloudWatch logging for CodeBuild,"Enhance auditing and maintain visibility by enabling Amazon CloudWatch logging for AWS CodeBuild, allowing for efficient identification of issues and streamlined troubleshooting.",NonProd,,us-east-1
721,security,Medium,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict security groups with all outbound traffic open to the public,"Restricting outbound traffic to necessary destinations and specifically denying all other traffic improves security by reducing potential data exfiltration and minimizing the risk of unauthorized connections, leading to a more secure environment and reduced business risks.",NonProd,,us-east-1
722,security,Medium,Failed,,,IAMUser,How do you manage identities for people and machines?,Ensure IAM Users Receive Permissions Only Through Groups,"Ensure that your Amazon IAM users are getting their access permissions only through IAM groups in order to follow the Principle of Least Privilege. By assigning permissions through groups, we can centralize and simplify access management, making it easier to apply consistent permissions across multiple users. This approach also reduces the risk of human error when configuring individual permissions and enhances the security and manageability of our AWS environment.",NonProd,,global
723,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
724,costOptimization,Medium,Failed,,,Certificate,How do you decommission resources?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
725,security,Medium,Failed,,,HostedZone,How do you protect your network resources?,Protect Route 53 hosted zones with AWS Shield Advanced,"Ensure Route 53 hosted zones are protected by Shield Advanced. AWS Shield Advanced provides additional protections against more sophisticated and larger attacks for your applications running on Route 53. By using Shield Advanced, you can safeguard your DNS infrastructure and maintain the availability and performance of your applications, ensuring they remain resilient against DDoS attacks and other potential threats.",NonProd,,global
726,security,Medium,Failed,,,Ram,How do you manage permissions for people and machines?,Restrict external principal access in Resource Access Manager,"Enhance security by ensuring external principals have limited permissions and conditions in AWS Resource Access Manager, or by not allowing external principal access at all. Adjust settings according to your organization's security requirements.",NonProd,,us-east-1
727,reliability,Medium,Failed,,,CloudTrail,How do you monitor workload resources?,Encrypt CloudTrail logs at rest using SSE-KMS.,Ensure that your CloudTrail logs are encrypted at rest using server-side encryption provided by AWS KMS–Managed Keys (SSE-KMS) to enhance the security of your CloudTrail bucket and allow you to have better control over who can read the log files in your organization.,NonProd,,us-east-1
728,costOptimization,Medium,Failed,,,Certificate,How do you decommission resources?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
729,security,Medium,Failed,,,Snapshot,How do you protect your data at rest?,EBS snapshots must be encrypted.,"Encrypting EBS Snapshots is a best practice to meet Security and Compliance requirements, ensuring that sensitive data stored in snapshots is protected from unauthorized access.",NonProd,,us-east-1
730,costOptimization,Medium,Failed,,,Certificate,How do you decommission resources?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
731,security,Medium,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict security groups with all outbound traffic open to the public,"Restricting outbound traffic to necessary destinations and specifically denying all other traffic improves security by reducing potential data exfiltration and minimizing the risk of unauthorized connections, leading to a more secure environment and reduced business risks.",NonProd,,us-east-1
732,security,Medium,Failed,,,S3,How do you protect your data at rest?,S3 Bucket Policy not Configured.,Ensuring that an S3 Bucket Policy is configured for each bucket provides an additional layer of access control and security for the data stored within the bucket.,NonProd,,us-east-1
733,reliability,Medium,Failed,,,Instance,How do you back up data?,Enable EC2 Instances backup,"Mitigate the risk of data loss by ensuring regular backups of Amazon EC2 instances, creating recoverable copies of data in the event of primary data failure. Scheduled backups contribute to business continuity and ensure the protection of critical information.",NonProd,,us-east-1
734,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
735,security,Medium,Failed,,,IAMUser,How do you securely operate your workload?,Ensure There Is Only One Active Access Key Available for Any Single IAM User,"Having more than one active access key for a single IAM user increases the risk of unauthorized access if one of the keys is compromised. It is strongly recommended to deactivate old keys and have only one key active at a time. This practice reduces potential attack vectors, ensures better credential management, and enhances the security of our AWS environment.",NonProd,,global
736,reliability,Medium,Failed,,,Volume,How do you back up data?,Enable EBS backup,"EBS Volumes should have snapshots. By regularly creating snapshots of your EBS volumes, you can ensure that you have a backup of your data in case of any failures or issues. Snapshots can be used to restore your data or create new volumes, helping to maintain the availability and integrity of your information. Additionally, taking snapshots can help with disaster recovery and compliance requirements.",Sandbox,,us-east-1
737,security,Medium,Failed,,,S3,How do you protect your data in transit?,S3 bucket should allow only HTTPS requests.,"Configuring S3 buckets to allow only HTTPS requests ensures secure access to objects, prevents data interception, and enhances overall security. Explicitly denying HTTP requests is also important for compliance with this recommendation.",Sandbox,,us-east-1
738,security,Medium,Failed,,,S3,How do you protect your data at rest?,S3 Bucket Policy not Configured.,Ensuring that an S3 Bucket Policy is configured for each bucket provides an additional layer of access control and security for the data stored within the bucket.,NonProd,,us-east-1
739,security,Medium,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict security groups with all outbound traffic open to the public,"Restricting outbound traffic to necessary destinations and specifically denying all other traffic improves security by reducing potential data exfiltration and minimizing the risk of unauthorized connections, leading to a more secure environment and reduced business risks.",NonProd,,us-east-1
740,reliability,Medium,Failed,,,S3,How do you monitor workload resources?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
741,security,Medium,Failed,,,ElasticIp,How do you protect your network resources?,Protect Elastic IPs with Shield Advanced,"Enhance security for your AWS-powered web applications by using Amazon Shield Advanced to defend against Distributed Denial of Service (DDoS) attacks, which can compromise availability and response time by overwhelming applications with traffic from multiple sources.",NonProd,,us-east-1
742,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
743,costOptimization,Medium,Failed,,,Certificate,How do you decommission resources?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
744,security,Medium,Failed,,,Ram,How do you manage permissions for people and machines?,Restrict external principal access in Resource Access Manager,"Enhance security by ensuring external principals have limited permissions and conditions in AWS Resource Access Manager, or by not allowing external principal access at all. Adjust settings according to your organization's security requirements.",NonProd,,us-east-1
745,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
746,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
747,security,Medium,Failed,,,Rds,How do you manage identities for people and machines?,Use IAM Authentication for RDS DBs,"Improve security and simplify access management by using AWS Identity and Access Management (IAM) authentication for your RDS DB clusters. Authenticate to Aurora MySQL or Aurora PostgreSQL without a password, using an authentication token instead, to ensure proper access control and protect your RDS databases from unauthorized access.",NonProd,,us-east-1
748,security,Medium,Failed,,,Volume,How do you protect your data at rest?,EBS volumes must be encrypted.,"Encrypting EBS volumes ensures data security, compliance with industry standards, and protection of sensitive information, minimizing the risk of unauthorized access and potential business impact.",NonProd,,us-east-1
749,security,Medium,Failed,,,S3,How do you protect your data at rest?,S3 Bucket Policy not Configured.,Ensuring that an S3 Bucket Policy is configured for each bucket provides an additional layer of access control and security for the data stored within the bucket.,NonProd,,us-east-1
750,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
751,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
752,reliability,Medium,Failed,,,Instance,How do you back up data?,Enable EC2 Instances backup,"Mitigate the risk of data loss by ensuring regular backups of Amazon EC2 instances, creating recoverable copies of data in the event of primary data failure. Scheduled backups contribute to business continuity and ensure the protection of critical information.",NonProd,,us-east-1
753,costOptimization,Medium,Failed,,,Certificate,How do you decommission resources?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
754,reliability,Medium,Failed,,,S3,How do you monitor workload resources?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
755,reliability,Medium,Failed,,,S3,How do you monitor workload resources?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
756,reliability,Medium,Failed,,,S3,How do you monitor workload resources?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
757,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
758,security,Medium,Failed,,,LoadBalancer,How do you protect your network resources?,Enable ELBv2 invalid HTTP header drop,"This rule ensures that the Drop Invalid Header Fields feature is enabled for your Amazon ELBv2 to follow security best practices and meet compliance requirements. When enabled, ELBv2 removes HTTP headers with invalid header fields instead of routing them to the associated targets.",NonProd,,us-east-1
759,security,Medium,Failed,,,Instance,How do you manage permissions for people and machines?,Ensure the Instance profile is attached to EC2 Instances,"This rule checks if roles are attached to EC2 instances. It is recommended to use IAM Roles/Instance Profiles instead of IAM Access Keys to grant access permissions to applications that perform AWS API requests running on Amazon EC2 instances. By using IAM roles, we avoid the need to store and manage long-term credentials on instances, enhancing security and simplifying credential management. Furthermore, roles can automatically rotate credentials, reducing the risk of credential leakage and unauthorized access.",NonProd,,us-east-1
760,security,Medium,Failed,,,S3,How do you protect your data at rest?,S3 Bucket Policy not Configured.,Ensuring that an S3 Bucket Policy is configured for each bucket provides an additional layer of access control and security for the data stored within the bucket.,NonProd,,us-east-1
761,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
762,costOptimization,Medium,Failed,,,Certificate,How do you decommission resources?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
763,security,Medium,Failed,,,S3,How do you detect and investigate security events?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
764,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
765,security,Medium,Failed,,,S3,How do you protect your data in transit?,S3 bucket should allow only HTTPS requests.,"Configuring S3 buckets to allow only HTTPS requests ensures secure access to objects, prevents data interception, and enhances overall security. Explicitly denying HTTP requests is also important for compliance with this recommendation.",NonProd,,us-east-1
766,reliability,Medium,Failed,,,Volume,How do you back up data?,Enable EBS backup,"EBS Volumes should have snapshots. By regularly creating snapshots of your EBS volumes, you can ensure that you have a backup of your data in case of any failures or issues. Snapshots can be used to restore your data or create new volumes, helping to maintain the availability and integrity of your information. Additionally, taking snapshots can help with disaster recovery and compliance requirements.",NonProd,,us-east-1
767,reliability,Medium,Failed,,,Instance,How do you back up data?,Enable EC2 Instances backup,"Mitigate the risk of data loss by ensuring regular backups of Amazon EC2 instances, creating recoverable copies of data in the event of primary data failure. Scheduled backups contribute to business continuity and ensure the protection of critical information.",NonProd,,us-east-1
768,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
769,reliability,Medium,Failed,,,LogMetricFilter,How do you monitor workload resources?,Ensure a log metric filter and alarm exist for IAM policy changes,This rule checks whether a metric filter and CloudWatch alarm with SNS topics exist for changes made to IAM policies. Monitoring these changes helps ensure that authentication and authorization controls remain intact.,NonProd,,us-east-1
770,reliability,Medium,Failed,,,S3,How do you monitor workload resources?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
771,costOptimization,Medium,Failed,,,Certificate,How do you decommission resources?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",Sandbox,,us-east-1
772,security,Medium,Failed,,,IAMUser,How do you securely operate your workload?,Use IAM Managed Policies,"Inline policies assigned to IAM users can be harder to manage than managed policies. Managed policies can be easily updated and attached to multiple users making them a more efficient and scalable solution for managing access control in AWS environments. This practice ensures smooth operations, better compliance, and reduced risk of unauthorized access.",NonProd,,global
773,security,Medium,Failed,,,CloudFront-Distribution,How do you protect your compute resources?,CloudFront Integrated With WAF,"Ensure that all your AWS CloudFront web distributions are integrated with the Web Application Firewall (AWS WAF) service to protect against application-layer attacks. AWS WAF helps protect your web applications from common web exploits, such as SQL injection and cross-site scripting, that could affect application availability, compromise security, or consume excessive resources. By integrating CloudFront with WAF, you can define custom security rules to block or allow specific web requests, enhancing the security of your web applications.",NonProd,,global
774,security,Medium,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict security groups with all outbound traffic open to the public,"Restricting outbound traffic to necessary destinations and specifically denying all other traffic improves security by reducing potential data exfiltration and minimizing the risk of unauthorized connections, leading to a more secure environment and reduced business risks.",Sandbox,,us-east-1
775,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
776,performance,Medium,Failed,,,GlobalAccelerator,How do you select and configure networking resources in your workload?,Use Global Accelarator,"AWS Global Accelerator is a networking service that enhances the availability, performance, and security of applications for global users. It provides static IP addresses as a fixed entry point to your applications, ensuring consistent performance and improved availability by routing traffic through the AWS global network to the nearest optimal endpoint.",Sandbox,,global
777,security,Medium,Failed,,,IAMUser,How do you securely operate your workload?,Unused IAM Credentials Should Be Removed,"Unused credentials pose a security risk as they may be forgotten or misused. By promptly removing or rotating unused IAM credentials, we minimize the attack surface and reduce the risk of unauthorized access to our AWS environment. Regularly auditing and managing IAM credentials is a best practice for maintaining a secure and well-organized infrastructure.",NonProd,,global
778,security,Medium,Failed,,,Instance,How do you protect your compute resources?,EC2 IMDSv2 enabled,This rule checks if IMDSv2 is enabled on all instances launched. IMDS provides data about your instance that you can use to configure or manage the running instance. Version 2 of the IMDS adds new protections that weren't available in IMDSv1 to further safeguard your EC2 instances.,Sandbox,,us-east-1
779,security,Medium,Failed,,,Vpc,How do you protect your network resources?,Avoid using default VPCs,"Follow security best practices by ensuring your AWS application is not deployed within the default VPC. Default VPCs are created automatically and are suitable for getting started quickly, but when deploying complex applications and using multi-tier architectures, it is recommended to create a non-default VPC tailored to your specific requirements, allowing for better security and network customization.",Sandbox,,us-east-1
780,reliability,Medium,Failed,,,S3,How do you monitor workload resources?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
781,reliability,Medium,Failed,,,S3,How do you monitor workload resources?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
782,security,Medium,Failed,,,SecurityGroup,How do you protect your network resources?,Restrict access to MSSQL port (tcp1433),"For enhanced security, prevent external access to MSSQL (tcp1433) via both IPv4 and IPv6 protocols. Achieve this by configuring your security groups to restrict inbound traffic to specific IP ranges or or VPNs.",NonProd,,us-east-1
783,reliability,Medium,Failed,,,S3,How do you monitor workload resources?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
784,costOptimization,Medium,Failed,,,Certificate,How do you decommission resources?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",Sandbox,,us-east-1
785,security,Medium,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict security groups with all outbound traffic open to the public,"Restricting outbound traffic to necessary destinations and specifically denying all other traffic improves security by reducing potential data exfiltration and minimizing the risk of unauthorized connections, leading to a more secure environment and reduced business risks.",Sandbox,,us-east-1
786,security,Medium,Failed,,,S3,How do you detect and investigate security events?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
787,reliability,Medium,Failed,,,Volume,How do you back up data?,Enable EBS backup,"EBS Volumes should have snapshots. By regularly creating snapshots of your EBS volumes, you can ensure that you have a backup of your data in case of any failures or issues. Snapshots can be used to restore your data or create new volumes, helping to maintain the availability and integrity of your information. Additionally, taking snapshots can help with disaster recovery and compliance requirements.",Sandbox,,us-east-1
788,reliability,Medium,Failed,,,S3,How do you monitor workload resources?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
789,security,Medium,Failed,,,S3,How do you detect and investigate security events?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
790,security,Medium,Failed,,,S3,How do you detect and investigate security events?,S3 bucket should have server access logging enabled.,"This control checks whether server access logging is enabled for Amazon S3 buckets. Server access logging provides detailed records of requests made to a bucket, including the requester, bucket name, request time, request action, and more. Server access logs can assist in security and access audits, improving overall security posture.",NonProd,,us-east-1
791,security,Medium,Failed,,,Subnet,How do you protect your compute resources?,Ensure Public IP Address Assignment for subnets is disabled,"Disabling automatic public IP assignment for subnets reduces the risk of inadvertent exposure of instances to the internet, improving security and minimizing potential business risks.",NonProd,,us-east-1
792,reliability,Medium,Failed,,,LogMetricFilter,How do you monitor workload resources?,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer managed keys,This rule checks whether a metric filter and CloudWatch alarm with SNS topics exist for a customer managed keys that have changed state to disabled or scheduled deletion. Data encrypted with disabled or deleted keys is no longer accessible.,Sandbox,,us-east-1
793,security,Medium,Failed,,,LogMetricFilter,How do you detect and investigate security events?,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer managed keys,This rule checks whether a metric filter and CloudWatch alarm with SNS topics exist for a customer managed keys that have changed state to disabled or scheduled deletion. Data encrypted with disabled or deleted keys is no longer accessible.,NonProd,,us-east-1
794,sustainability,Medium,Failed,,,Certificate,How do you take advantage of data management policies and patterns to support your sustainability goals?,CloudWatch Logs Retention Configuration,"Configure CloudWatch Logs retention settings to effectively manage log data storage and access. It is recommended to define retention policies based on compliance requirements, operational needs, and cost considerations. Proper configuration ensures that essential log data is retained for analysis and troubleshooting while minimizing storage costs by automatically managing log retention periods.",NonProd,,us-east-1
795,security,Medium,Failed,,,Instance,How do you protect your compute resources?,EC2 IMDSv2 enabled,This rule checks if IMDSv2 is enabled on all instances launched. IMDS provides data about your instance that you can use to configure or manage the running instance. Version 2 of the IMDS adds new protections that weren't available in IMDSv1 to further safeguard your EC2 instances.,NonProd,,us-east-1
796,security,Medium,Failed,,,IAMUser,How do you manage identities for people and machines?,IAM Users Should Have Multi-Factor Authentication (MFA) Enabled,"This control checks whether Multi-Factor Authentication (MFA) is enabled for all the IAM users' console access within your AWS account. MFA adds an extra layer of security to the authentication process, requiring users to provide multiple pieces of evidence (factors) to prove their identity. By enabling MFA, we reduce the risk of unauthorized access, strengthen the overall security of our cloud environment, and comply with industry best practices.",NonProd,,global
